wavelength,D50,D55,D65,D75
711,0.919221664,0.839971063,0.736432391,0.674471178
712,0.905119176,0.827183751,0.725352182,0.664402256
713,0.88755298,0.811074058,0.711175138,0.651409326
714,0.868266476,0.793352926,0.695537719,0.637054591
715,0.848649762,0.77536921,0.679713878,0.622547735
716,0.828631258,0.757046511,0.663624069,0.607810239
717,0.807938482,0.73813894,0.647055763,0.59264826
718,0.788966016,0.720842807,0.631947832,0.578848086
719,0.775131389,0.708281483,0.621044935,0.568932925
720,0.768485118,0.702328991,0.61599387,0.564416702
721,0.76886457,0.702845341,0.61668134,0.565199418
722,0.77676191,0.710288224,0.62351834,0.571662595
723,0.78979709,0.722465917,0.634560375,0.582010785
724,0.804003357,0.735725544,0.646566619,0.593251575
725,0.816766444,0.747658994,0.657399733,0.603410998
726,0.828468673,0.758618057,0.66737148,0.612776733
727,0.83896194,0.76846733,0.67636294,0.621239621
728,0.848284119,0.777234669,0.684390192,0.628809909
729,0.856888698,0.785327144,0.691801437,0.63580221
730,0.865047769,0.792988997,0.698805596,0.642405293
731,0.872244378,0.799745002,0.70498199,0.648231149
732,0.87788893,0.805050915,0.709846024,0.652831249
733,0.882815881,0.809681965,0.714094052,0.656853363
734,0.888415995,0.814930197,0.718886661,0.661377105
735,0.895389096,0.821447403,0.724811288,0.666949921
736,0.903514441,0.829029162,0.731685096,0.673402126
737,0.913147405,0.838003333,0.739799838,0.68100373
738,0.922107207,0.84636032,0.747369999,0.688103705
739,0.926983596,0.850956531,0.751601246,0.692117546
740,0.925730424,0.849905808,0.75081698,0.69149455
741,0.918682266,0.843515209,0.745288153,0.686483928
742,0.905442145,0.831415276,0.734681412,0.676774069
743,0.888118613,0.815554567,0.720735757,0.663978076
744,0.870225918,0.799180674,0.70634952,0.650784454
745,0.853986443,0.784344793,0.693349818,0.638885831
746,0.839024011,0.770698265,0.681424097,0.627991397
747,0.825600966,0.75848711,0.670796794,0.618312436
748,0.812747084,0.746789139,0.660610073,0.609031105
749,0.798655602,0.733896304,0.649287345,0.598651787
750,0.782242463,0.718783777,0.635882657,0.586277112
751,0.764299476,0.702185763,0.621054476,0.572519781
752,0.745623228,0.684832613,0.605446426,0.557971339
753,0.72570938,0.666284599,0.588702369,0.542324911
754,0.703717367,0.645808842,0.570228743,0.525069035
755,0.679558484,0.623351163,0.550015325,0.506218726
756,0.65349985,0.599153729,0.528271706,0.485964115
757,0.624858713,0.572588824,0.504442382,0.46379318
758,0.59829574,0.547951662,0.482342626,0.443231692
759,0.580885993,0.531758349,0.467754709,0.429619452
760,0.576874505,0.52791855,0.464147992,0.42616034
761,0.585389005,0.535634412,0.470821946,0.432212156
762,0.606733208,0.555193369,0.488042028,0.44802656
763,0.637230636,0.583196175,0.51277395,0.470790211
764,0.670753823,0.613977422,0.539960558,0.49581421
765,0.703021139,0.643582176,0.566076623,0.51983315
766,0.734525817,0.672468011,0.59153263,0.543228869
767,0.765379776,0.700733042,0.616409033,0.566071597
768,0.793207976,0.726219632,0.638830748,0.586653976
769,0.815060604,0.746257868,0.65649087,0.60288386
770,0.829167773,0.759245802,0.668005254,0.613505959
771,0.835322701,0.764985607,0.673188627,0.618343309
772,0.832776074,0.762787283,0.671429081,0.616831291
773,0.824253876,0.755140604,0.664907942,0.610966777
774,0.814299411,0.746195199,0.65726075,0.604077887
775,0.805925117,0.738700588,0.650894041,0.598366369
776,0.798700377,0.732262715,0.645461633,0.593514798
777,0.792769355,0.727015891,0.641084498,0.589635724
778,0.788270599,0.723067793,0.637833415,0.586781026
779,0.784957602,0.720164977,0.635451002,0.584695709
780,0.782682461,0.718155374,0.633782828,0.583226779
781,0.781768898,0.717337591,0.633094144,0.582619025
782,0.782431876,0.717905906,0.633552544,0.583024378
783,0.784280613,0.719519503,0.634879614,0.584199114
784,0.786663808,0.721610351,0.63661133,0.585737022
785,0.78908379,0.723742182,0.638388349,0.587321741
786,0.791575957,0.725944981,0.640233982,0.588972962
787,0.794211802,0.728284213,0.642205848,0.590743628
788,0.796313188,0.730146194,0.643773068,0.592151123
789,0.796928042,0.730667198,0.644185725,0.592512142
790,0.795485118,0.729328991,0.64299387,0.591416702
791,0.791981854,0.726130963,0.64019925,0.588867775
792,0.786198646,0.720875498,0.635632504,0.584712477
793,0.778928906,0.714279056,0.629911195,0.579510703
794,0.771494984,0.707535739,0.624064597,0.574195611
795,0.764723128,0.701391382,0.618735332,0.569349759
796,0.75846779,0.695714444,0.61380991,0.564870235
797,0.752841682,0.690607091,0.609376763,0.560837287
798,0.747379755,0.685646614,0.605068905,0.556917657
799,0.741252202,0.680079536,0.60023293,0.552518141
